Sample	Population_descriptor	Source	Haplotype	Sample_hap	x1	x2
HG00180	Finnish in Finland	1000G	1	HG00180_H2	0.5168483614631956	-1.1921877636171796
HG00181	Finnish in Finland	1000G	0	HG00181_H1	0.43121760355083527	-1.23757800629181
HG00181	Finnish in Finland	1000G	1	HG00181_H2	0.47069108507807617	-1.1766551447382299
HG00182	Finnish in Finland	1000G	0	HG00182_H1	0.4903776195904121	-1.1703442904547705
HG00182	Finnish in Finland	1000G	1	HG00182_H2	0.48336779591802764	-1.129987945653428
HG00183	Finnish in Finland	1000G	0	HG00183_H1	0.5020691221210414	-1.1960515425147422
HG00183	Finnish in Finland	1000G	1	HG00183_H2	0.5114966156706133	-1.1860489478108993
HG00185	Finnish in Finland	1000G	0	HG00185_H1	0.5164755125688513	-1.1580725510741445
HG00185	Finnish in Finland	1000G	1	HG00185_H2	0.4960710107434992	-1.1540266641637456
HG00186	Finnish in Finland	1000G	0	HG00186_H1	0.5010298609434634	-1.1861771304819293
HG00186	Finnish in Finland	1000G	1	HG00186_H2	0.5060593495420138	-1.1820175255377423
HG00187	Finnish in Finland	1000G	0	HG00187_H1	0.4877441717046414	-1.1323042537042867
HG00187	Finnish in Finland	1000G	1	HG00187_H2	0.4927140045449748	-1.154563567477126
HG00188	Finnish in Finland	1000G	0	HG00188_H1	0.4957613593272019	-1.197624407187199
HG00188	Finnish in Finland	1000G	1	HG00188_H2	0.4974267441140878	-1.2046204798543627
HG00189	Finnish in Finland	1000G	0	HG00189_H1	0.5089892758836922	-1.1649466263033208
HG00189	Finnish in Finland	1000G	1	HG00189_H2	0.5021937640171036	-1.1779358525821555
HG00190	Finnish in Finland	1000G	0	HG00190_H1	0.4828038962299866	-1.2578629146130151
HG00190	Finnish in Finland	1000G	1	HG00190_H2	0.48838561726240237	-1.187418379124285
HG00231	British from England and Scotland	1000G	0	HG00231_H1	0.47050541259078466	-1.3638986627336045
HG00231	British from England and Scotland	1000G	1	HG00231_H2	0.45967136816653426	-1.34459970461927
HG00233	British from England and Scotland	1000G	0	HG00233_H1	0.4361876148148651	-1.3637154887202794
HG00233	British from England and Scotland	1000G	1	HG00233_H2	0.450063178897887	-1.3906211661176777
HG00234	British from England and Scotland	1000G	0	HG00234_H1	0.4786183204001094	-1.3718740030934105
HG00234	British from England and Scotland	1000G	1	HG00234_H2	0.44765366257619377	-1.3818486553116598
HG00236	British from England and Scotland	1000G	0	HG00236_H1	0.4521501388274652	-1.367987891605177
HG00236	British from England and Scotland	1000G	1	HG00236_H2	0.4379311645704108	-1.391087445352913
HG00238	British from England and Scotland	1000G	0	HG00238_H1	0.4587561269008753	-1.3536372825260368
HG00238	British from England and Scotland	1000G	1	HG00238_H2	0.4705154766906103	-1.3810989768298574
HG00239	British from England and Scotland	1000G	0	HG00239_H1	0.4600930724095659	-1.3724216127952964
HG00239	British from England and Scotland	1000G	1	HG00239_H2	0.4461106673623511	-1.4091424645625135
HG00240	British from England and Scotland	1000G	0	HG00240_H1	0.45289906143799197	-1.355082496814094
HG00240	British from England and Scotland	1000G	1	HG00240_H2	0.4722134653150263	-1.3985097974001728
HG00242	British from England and Scotland	1000G	0	HG00242_H1	0.4502163627763227	-1.3489091524679562
HG00242	British from England and Scotland	1000G	1	HG00242_H2	0.4668128616815093	-1.3693554344009653
HG00243	British from England and Scotland	1000G	0	HG00243_H1	0.45746657435187815	-1.3992678118892805
HG00243	British from England and Scotland	1000G	1	HG00243_H2	0.4706818669626161	-1.362413309499282
HG00244	British from England and Scotland	1000G	0	HG00244_H1	0.4721788689963213	-1.3732519588003833
HG00244	British from England and Scotland	1000G	1	HG00244_H2	0.4552071962646566	-1.3599748034613182
HG00245	British from England and Scotland	1000G	0	HG00245_H1	0.4504795962144063	-1.3358437213445566
HG00245	British from England and Scotland	1000G	1	HG00245_H2	0.44181147355843275	-1.3863540398371077
HG00246	British from England and Scotland	1000G	0	HG00246_H1	0.4620102485060569	-1.3537026088265787
HG00246	British from England and Scotland	1000G	1	HG00246_H2	0.4505572653327185	-1.3573157170914059
HG00250	British from England and Scotland	1000G	0	HG00250_H1	0.4570329387058745	-1.3559565029515008
HG00250	British from England and Scotland	1000G	1	HG00250_H2	0.4753278239431088	-1.3678191523055927
HG00251	British from England and Scotland	1000G	0	HG00251_H1	0.46642365678687975	-1.376020668057115
